gx,gy,surf,minAttr,maxAttr,minSpd,maxSpd,maxDrop,maxFall,maxZ,n
3,4,0,0,0,3.97,4.08,0.06,0,0,12
3,5,0,0,2,3.84,4.08,0.10,0,0,72
3,6,0,0,2,3.81,3.94,0.06,0,0,59
3,7,0,2,2,3.91,3.91,0.03,0,0,1
4,3,0,0,0,3.72,4.42,0.13,0,0,32
4,4,3,0,0,3.87,4.09,0.11,0,0,79
4,5,1,0,0,4.08,4.08,0.00,0,-20,3
4,6,0,0,2,3.88,3.93,0.03,0,0,19
4,7,0,0,2,3.81,3.93,0.06,0,0,81
4,8,1,0,2,3.88,3.97,0.07,0,0,53
4,9,3,0,2,3.83,3.94,0.06,0,0,26
4,10,3,2,2,3.86,3.95,0.09,0,0,8
5,3,0,0,0,3.52,6.07,0.19,0,0,74
5,8,0,2,2,3.83,3.93,0.04,0,0,31
5,9,2,0,2,3.83,4.15,0.04,0,0,55
5,10,0,2,2,3.83,4.15,0.19,0,0,32
5,11,0,2,2,3.85,3.93,0.06,0,0,20
6,2,2,0,1,3.15,4.12,0.19,0,0,16
6,3,0,0,1,3.39,4.80,0.36,0,0,63
6,10,0,2,2,3.83,4.07,0.11,0,0,45
6,11,0,2,2,3.83,4.01,0.07,0,0,67
6,12,0,2,2,3.86,3.93,0.06,0,0,26
7,3,2,0,1,2.54,4.10,0.10,0,0,92
7,11,2,2,2,3.85,3.93,0.03,0,0,3
7,12,0,2,2,3.82,3.98,0.08,0,0,74
7,13,0,2,2,3.87,4.06,0.05,0,0,23
8,3,0,0,1,0.15,4.01,0.45,0,0,55
8,4,1,1,1,3.83,3.98,0.06,0,0,80
8,5,0,1,1,3.88,3.96,0.04,0,0,75
8,6,0,1,1,3.86,3.94,0.04,0,0,55
8,7,0,1,1,3.88,3.94,0.03,0,0,50
8,8,0,1,1,3.90,3.93,0.02,0,0,31
8,9,2,1,1,3.90,3.93,0.02,0,0,9
8,11,0,3,3,3.83,3.91,0.04,0,0,10
8,12,2,2,3,3.13,4.01,0.09,0,0,49
8,13,0,2,3,3.33,4.01,0.11,0,0,54
9,6,0,1,1,3.85,3.96,0.04,0,0,21
9,7,2,1,3,3.86,3.86,0.00,0,0,24
9,8,0,1,3,3.86,3.93,0.02,0,0,44
9,9,0,1,3,3.86,3.94,0.06,0,0,65
9,10,0,1,3,3.13,3.94,0.03,0,0,76
9,11,1,1,3,1.17,3.93,1.95,0,0,87
9,12,0,3,3,3.83,4.06,0.09,0,0,43
